<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.China.Clay,20230130,13950.00,13950.00,12920.00,13390.00,11241104520,848242,278,D,13590.00,13280.00
Iran.China.Clay,20230129,14290.00,14290.00,13580.00,13590.00,23948330970,1762501,227,D,14290.00,13580.00
Iran.China.Clay,20230128,14430.00,14600.00,14130.00,14290.00,27193111830,1902650,257,D,14870.00,14320.00
Iran.China.Clay,20230125,15480.00,15480.00,14310.00,14870.00,9138056240,623405,272,D,15040.00,14630.00
Iran.China.Clay,20230124,15100.00,15450.00,14850.00,15040.00,77890082770,5177631,313,D,14970.00,15350.00
Iran.China.Clay,20230123,15360.00,15500.00,14900.00,14970.00,7527007880,498669,154,D,14900.00,15080.00
Iran.China.Clay,20230122,15000.00,15100.00,14580.00,14900.00,8243267650,559491,184,D,15010.00,14820.00
Iran.China.Clay,20230121,15290.00,16000.00,14960.00,15010.00,41429247810,2759734,420,D,15740.00,15000.00
Iran.China.Clay,20230118,15510.00,16000.00,15190.00,15740.00,16744262970,1066054,247,D,15830.00,15640.00
Iran.China.Clay,20230117,15920.00,16070.00,15560.00,15830.00,21324677960,1347226,383,D,15930.00,15600.00
Iran.China.Clay,20230116,15730.00,16100.00,15700.00,15930.00,50990896430,3201866,280,D,15490.00,15910.00
Iran.China.Clay,20230114,14860.00,16170.00,14790.00,15490.00,30945012240,1997351,397,D,15560.00,15730.00
Iran.China.Clay,20230111,15580.00,15960.00,15030.00,15560.00,56934173360,3657886,756,D,15400.00,15100.00
Iran.China.Clay,20230110,14900.00,15480.00,14900.00,15400.00,70607145000,4583478,765,D,14750.00,15350.00
Iran.China.Clay,20230109,14960.00,15010.00,14500.00,14750.00,45689167950,3098471,418,D,14630.00,14860.00
Iran.China.Clay,20230108,14200.00,14750.00,14200.00,14630.00,64479894680,4407909,445,D,14050.00,14750.00
Iran.China.Clay,20230107,13700.00,14180.00,13530.00,14050.00,49436882840,3517446,599,D,13550.00,14100.00
Iran.China.Clay,20230104,13270.00,13700.00,13200.00,13550.00,12342545360,915288,206,D,13680.00,13680.00
Iran.China.Clay,20230103,13950.00,14000.00,13260.00,13680.00,40773422440,2981352,515,D,13680.00,13440.00
Iran.China.Clay,20230102,13130.00,13780.00,13130.00,13680.00,50383597580,3682148,284,D,13130.00,13780.00
Iran.China.Clay,20230101,13230.00,13740.00,12880.00,13130.00,25834267470,1967919,299,D,13300.00,13010.00
Iran.China.Clay,20221231,13810.00,13810.00,13220.00,13300.00,25839913060,1942948,334,D,13910.00,13260.00
Iran.China.Clay,20221228,13770.00,14150.00,13770.00,13910.00,14171720460,1010122,196,D,13590.00,14110.00
Iran.China.Clay,20221226,13300.00,13680.00,13300.00,13590.00,6522955450,481835,154,D,13620.00,13620.00
Iran.China.Clay,20221225,13600.00,13860.00,13500.00,13620.00,12531826380,917987,201,D,13560.00,13550.00
Iran.China.Clay,20221224,12790.00,13610.00,12790.00,13560.00,28966632170,2135991,311,D,12970.00,13600.00
Iran.China.Clay,20221221,12950.00,13200.00,12770.00,12970.00,8244689480,633478,96,D,12930.00,13050.00
Iran.China.Clay,20221220,13070.00,13070.00,12590.00,12930.00,7327483180,577093,190,D,13100.00,12670.00
Iran.China.Clay,20221219,13340.00,13340.00,12740.00,13100.00,6570531460,509724,168,D,13220.00,12770.00
Iran.China.Clay,20221218,13200.00,13400.00,13010.00,13220.00,12604387890,952538,239,D,13200.00,13200.00
Iran.China.Clay,20221217,13230.00,13370.00,12970.00,13200.00,24786233660,1877195,255,D,12930.00,13200.00
Iran.China.Clay,20221214,12730.00,13060.00,12450.00,12930.00,16934840680,1309092,188,D,12850.00,13000.00
Iran.China.Clay,20221213,12970.00,13070.00,12730.00,12850.00,16932470290,1316394,178,D,12670.00,12900.00
Iran.China.Clay,20221212,12640.00,12980.00,12610.00,12670.00,18005843030,1421283,141,D,12490.00,12730.00
Iran.China.Clay,20221211,12160.00,12650.00,12160.00,12490.00,4580810640,366547,98,D,12490.00,12530.00
Iran.China.Clay,20221210,12280.00,12460.00,12200.00,12490.00,3443035490,280770,85,D,12550.00,12360.00
Iran.China.Clay,20221207,12440.00,12600.00,12270.00,12550.00,4861278100,392220,68,D,12610.00,12490.00
Iran.China.Clay,20221206,12530.00,12690.00,12300.00,12610.00,4207104690,337343,121,D,12660.00,12460.00
Iran.China.Clay,20221205,12560.00,12800.00,12500.00,12660.00,4972521130,393959,70,D,12680.00,12750.00
Iran.China.Clay,20221204,12610.00,12760.00,12470.00,12680.00,4188224010,332776,102,D,12710.00,12550.00
Iran.China.Clay,20221203,12620.00,12840.00,12600.00,12710.00,3230821630,255126,79,D,12720.00,12670.00
Iran.China.Clay,20221130,12790.00,12790.00,12590.00,12720.00,2989138810,236335,62,D,12740.00,12660.00
Iran.China.Clay,20221129,12570.00,12880.00,12570.00,12740.00,4588207910,359606,94,D,12730.00,12800.00
Iran.China.Clay,20221128,12610.00,12930.00,12600.00,12730.00,4049390820,317908,79,D,12730.00,12850.00
Iran.China.Clay,20221127,13000.00,13000.00,12510.00,12730.00,3891416450,307232,91,D,12750.00,12710.00
Iran.China.Clay,20221126,12610.00,13040.00,12610.00,12750.00,7565994220,590970,103,D,12720.00,12800.00
Iran.China.Clay,20221123,12620.00,12900.00,12600.00,12720.00,6714956440,530364,84,D,12750.00,12650.00
Iran.China.Clay,20221122,13050.00,13050.00,12580.00,12750.00,4244423130,333313,63,D,12760.00,12800.00
Iran.China.Clay,20221121,12860.00,12870.00,12450.00,12760.00,6104487120,483126,136,D,12820.00,12760.00
Iran.China.Clay,20221120,12500.00,12920.00,12320.00,12820.00,32389297810,2526796,195,D,12310.00,12830.00
Iran.China.Clay,20221119,12350.00,12560.00,12060.00,12310.00,12940975280,1061243,142,D,12690.00,12100.00
Iran.China.Clay,20221116,12420.00,13000.00,12420.00,12690.00,9008555460,706315,95,D,12620.00,12900.00
Iran.China.Clay,20221115,12300.00,13000.00,12300.00,12620.00,10940953790,864743,162,D,12560.00,12990.00
Iran.China.Clay,20221114,12360.00,12800.00,12360.00,12560.00,1535950950,123294,61,D,12570.00,12400.00
Iran.China.Clay,20221113,12450.00,12990.00,12200.00,12570.00,8488694150,682319,163,D,12700.00,12590.00
Iran.China.Clay,20221112,13050.00,13230.00,12690.00,12700.00,4685554910,362110,136,D,12620.00,12800.00
Iran.China.Clay,20221109,12290.00,12920.00,12110.00,12620.00,22412938670,1776633,220,D,12430.00,12920.00
Iran.China.Clay,20221108,12520.00,12520.00,12110.00,12430.00,42862940630,3447410,331,D,11930.00,12500.00
Iran.China.Clay,20221107,11430.00,12000.00,11430.00,11930.00,28054896440,2351972,209,D,11430.00,12000.00
Iran.China.Clay,20221106,11850.00,11850.00,11140.00,11430.00,14780163780,1292154,171,D,11290.00,11400.00
Iran.China.Clay,20221105,11280.00,11290.00,11000.00,11290.00,21827436080,1933608,173,D,10760.00,11290.00
Iran.China.Clay,20221102,11100.00,11220.00,10680.00,10760.00,2146046620,195542,75,D,10720.00,11090.00
Iran.China.Clay,20221101,10940.00,11080.00,10770.00,10720.00,4828822370,442814,108,D,10640.00,10810.00
Iran.China.Clay,20221031,10500.00,11000.00,10490.00,10640.00,9693112680,903168,163,D,10480.00,10660.00
Iran.China.Clay,20221030,10630.00,10840.00,10240.00,10480.00,19237814570,1835569,173,D,10770.00,10700.00
Iran.China.Clay,20221029,10850.00,11240.00,10650.00,10770.00,31012854250,2880822,286,D,11210.00,10720.00
Iran.China.Clay,20221026,11300.00,11500.00,11150.00,11210.00,24500026630,2186093,167,D,11730.00,11170.00
Iran.China.Clay,20221025,11600.00,11820.00,11450.00,11730.00,6141041060,532896,93,D,11860.00,11590.00
Iran.China.Clay,20221024,11460.00,11900.00,11460.00,11860.00,5646802540,484090,88,D,11960.00,11600.00
Iran.China.Clay,20221023,11620.00,12150.00,11620.00,11960.00,2026403700,170386,44,D,11970.00,11800.00
Iran.China.Clay,20221022,11670.00,12100.00,11670.00,11970.00,4057364960,339551,65,D,11980.00,12000.00
Iran.China.Clay,20221019,11660.00,12280.00,11660.00,11980.00,5914766280,492056,50,D,11960.00,12000.00
Iran.China.Clay,20221018,12370.00,12370.00,11970.00,11960.00,3206028940,265290,49,D,11930.00,11980.00
Iran.China.Clay,20221017,11810.00,12070.00,11810.00,11930.00,1424082020,119965,39,D,11940.00,11900.00
Iran.China.Clay,20221016,11680.00,12380.00,11430.00,11940.00,6092236740,509823,130,D,11940.00,11810.00
Iran.China.Clay,20221015,11610.00,12160.00,11430.00,11940.00,12148929260,1020354,167,D,12030.00,12050.00
Iran.China.Clay,20221012,12270.00,12270.00,11920.00,12030.00,5461527470,451488,96,D,12000.00,12110.00
Iran.China.Clay,20221011,11330.00,12030.00,11330.00,12000.00,31224838260,2601453,214,D,11460.00,12030.00
Iran.China.Clay,20221010,11600.00,11660.00,11430.00,11460.00,1901233140,165085,61,D,11450.00,11550.00
Iran.China.Clay,20221009,11310.00,11580.00,11210.00,11450.00,7497454000,663744,107,D,11590.00,11550.00
Iran.China.Clay,20221008,12050.00,12050.00,11380.00,11590.00,10302020120,888819,97,D,11600.00,11400.00
Iran.China.Clay,20221004,11530.00,11870.00,11400.00,11600.00,9776990030,854985,139,D,11850.00,11430.00
Iran.China.Clay,20221003,11990.00,12000.00,11550.00,11850.00,1483339270,126267,71,D,11860.00,11750.00
Iran.China.Clay,20221002,11590.00,11930.00,11390.00,11860.00,4006835550,348097,113,D,11980.00,11770.00
Iran.China.Clay,20221001,12070.00,12390.00,11600.00,11980.00,8220049840,699455,161,D,12200.00,11860.00
Iran.China.Clay,20220928,12100.00,12390.00,12050.00,12200.00,4952719650,404626,117,D,12180.00,12160.00
Iran.China.Clay,20220926,12090.00,12400.00,11990.00,12180.00,5692658010,468942,144,D,12200.00,11990.00
Iran.China.Clay,20220924,12290.00,12630.00,12080.00,12200.00,14620501630,1206443,208,D,12710.00,12080.00
Iran.China.Clay,20220921,12790.00,12790.00,12320.00,12710.00,8110885920,642695,111,D,12790.00,12410.00
Iran.China.Clay,20220919,12390.00,12700.00,12390.00,12790.00,3359647020,266634,108,D,12840.00,12560.00
Iran.China.Clay,20220918,12650.00,12890.00,12410.00,12840.00,4853478770,384139,126,D,12920.00,12540.00
Iran.China.Clay,20220914,13110.00,13110.00,12800.00,12920.00,5552927860,430814,112,D,12930.00,12870.00
Iran.China.Clay,20220913,13000.00,13000.00,12690.00,12930.00,4607887040,356780,122,D,12930.00,12980.00
Iran.China.Clay,20220912,12800.00,13350.00,12720.00,12930.00,14316290340,1102312,230,D,12720.00,12810.00
Iran.China.Clay,20220911,12710.00,13250.00,12470.00,12720.00,35987375540,2829844,359,D,13120.00,13010.00
Iran.China.Clay,20220910,13080.00,13660.00,12980.00,13120.00,35362188590,2695000,499,D,13660.00,13110.00
Iran.China.Clay,20220907,13500.00,13850.00,13450.00,13660.00,7550066710,556561,147,D,13730.00,13510.00
Iran.China.Clay,20220906,13940.00,13940.00,13420.00,13730.00,11218812060,824171,175,D,13900.00,13620.00
Iran.China.Clay,20220905,13810.00,14090.00,13670.00,13900.00,13237001860,957433,248,D,14070.00,13670.00
Iran.China.Clay,20220904,14170.00,14300.00,13700.00,14070.00,13611760980,970829,324,D,14170.00,14000.00
Iran.China.Clay,20220903,14290.00,14290.00,13900.00,14170.00,45981870990,3245344,702,D,13610.00,13990.00
Iran.China.Clay,20220831,13060.00,13630.00,13020.00,13610.00,38870684780,2855890,365,D,12990.00,13630.00
Iran.China.Clay,20220830,13380.00,13380.00,12990.00,12990.00,3334035260,252668,85,D,12950.00,13070.00
Iran.China.Clay,20220829,12960.00,13330.00,12960.00,12950.00,3956868490,301988,77,D,12910.00,13150.00
Iran.China.Clay,20220828,13130.00,13140.00,12850.00,12910.00,2801737410,215651,72,D,12900.00,12930.00
Iran.China.Clay,20220827,12590.00,13250.00,12590.00,12900.00,10202398020,789301,162,D,12870.00,12880.00
Iran.China.Clay,20220824,13250.00,13250.00,12810.00,12870.00,3637071530,276968,100,D,12800.00,13160.00
Iran.China.Clay,20220823,12890.00,13000.00,12570.00,12800.00,4588089660,358766,110,D,12810.00,12970.00
Iran.China.Clay,20220822,12590.00,12880.00,12590.00,12810.00,1507512670,118082,46,D,12810.00,12800.00
Iran.China.Clay,20220821,12630.00,12910.00,12600.00,12810.00,1806664980,141650,58,D,12820.00,12600.00
Iran.China.Clay,20220820,12540.00,13190.00,12540.00,12820.00,9534646670,750779,125,D,12950.00,12570.00
Iran.China.Clay,20220817,12540.00,13080.00,12540.00,12950.00,2508384500,194517,92,D,12960.00,13080.00
Iran.China.Clay,20220816,12950.00,13020.00,12690.00,12960.00,2849010430,223012,73,D,13000.00,12760.00
Iran.China.Clay,20220815,13250.00,13250.00,12910.00,13000.00,901792940,69238,42,D,13000.00,13180.00
Iran.China.Clay,20220814,12720.00,13370.00,12720.00,13000.00,3277719980,249994,72,D,12980.00,13230.00
Iran.China.Clay,20220813,13150.00,13250.00,12900.00,12980.00,4465977250,340938,92,D,12940.00,13230.00
Iran.China.Clay,20220810,12780.00,13340.00,12350.00,12940.00,5299267960,411533,112,D,12960.00,12940.00
Iran.China.Clay,20220809,13370.00,13410.00,12830.00,12960.00,3034912290,230524,88,D,12920.00,12960.00
Iran.China.Clay,20220806,12620.00,13290.00,12620.00,12920.00,2634018200,199698,96,D,12870.00,13280.00
Iran.China.Clay,20220803,12410.00,13250.00,12410.00,12870.00,3730765800,287847,43,D,12850.00,13140.00
Iran.China.Clay,20220802,13000.00,13020.00,12490.00,12850.00,2100516080,163296,54,D,12850.00,12900.00
Iran.China.Clay,20220801,12290.00,12970.00,12290.00,12850.00,2382661950,186380,58,D,12860.00,12710.00
Iran.China.Clay,20220731,12600.00,12870.00,12300.00,12860.00,2928036150,234191,86,D,12930.00,12870.00
Iran.China.Clay,20220730,12800.00,13080.00,12680.00,12930.00,3355806010,261756,76,D,12950.00,12780.00
Iran.China.Clay,20220727,12960.00,13340.00,12600.00,12950.00,1520725330,116964,55,D,12940.00,12940.00
Iran.China.Clay,20220726,12800.00,13440.00,12370.00,12940.00,3675074760,282812,111,D,12930.00,12950.00
Iran.China.Clay,20220725,12980.00,13100.00,12370.00,12930.00,2664919430,212824,109,D,13000.00,12400.00
Iran.China.Clay,20220724,12790.00,13100.00,12650.00,13000.00,6676830380,520477,119,D,13100.00,12990.00
Iran.China.Clay,20220723,12860.00,13470.00,12860.00,13100.00,1306665160,98548,48,D,13090.00,13140.00
Iran.China.Clay,20220720,13000.00,13270.00,12730.00,13090.00,5352686970,408240,106,D,13080.00,13100.00
Iran.China.Clay,20220719,12690.00,13300.00,12690.00,13080.00,3019928780,230225,100,D,13070.00,13030.00
Iran.China.Clay,20220717,12700.00,13030.00,12700.00,13070.00,5180698630,404284,105,D,13170.00,12800.00
Iran.China.Clay,20220716,12770.00,13400.00,12770.00,13170.00,5727621500,438836,123,D,13220.00,12890.00
Iran.China.Clay,20220713,13440.00,13440.00,13030.00,13220.00,4072410000,308911,75,D,13230.00,13160.00
Iran.China.Clay,20220712,12770.00,13350.00,12770.00,13230.00,4888790330,373599,101,D,13280.00,12910.00
Iran.China.Clay,20220711,13010.00,13280.00,12870.00,13280.00,3348084570,257719,119,D,13350.00,13190.00
Iran.China.Clay,20220709,13570.00,13850.00,12820.00,13350.00,7924797860,598634,193,D,13430.00,13350.00
Iran.China.Clay,20220706,13520.00,13600.00,13100.00,13430.00,6647458550,496516,111,D,13450.00,13400.00
Iran.China.Clay,20220705,13500.00,13500.00,13180.00,13450.00,5522598530,416898,154,D,13540.00,13390.00
Iran.China.Clay,20220704,13250.00,13680.00,13250.00,13540.00,4764753160,351735,90,D,13540.00,13600.00
Iran.China.Clay,20220703,13970.00,13970.00,13230.00,13540.00,4335877320,322718,141,D,13570.00,13240.00
Iran.China.Clay,20220702,13230.00,13960.00,13230.00,13570.00,8629856880,634938,163,D,13550.00,13750.00
Iran.China.Clay,20220629,13650.00,13830.00,13180.00,13550.00,15654313140,1150544,292,D,13300.00,13600.00
Iran.China.Clay,20220628,13000.00,13630.00,13000.00,13300.00,26363295630,1982119,370,D,12990.00,13300.00
Iran.China.Clay,20220627,12410.00,13440.00,12410.00,12990.00,8828561540,677039,159,D,12940.00,13250.00
Iran.China.Clay,20220626,13600.00,13600.00,12920.00,12940.00,45746632060,3534758,312,D,13600.00,12920.00
Iran.China.Clay,20220625,13960.00,13960.00,13250.00,13600.00,11082636680,828914,266,D,13940.00,13350.00
Iran.China.Clay,20220622,13660.00,14480.00,13660.00,13940.00,11277241280,808948,191,D,13930.00,13670.00
Iran.China.Clay,20220621,14350.00,14350.00,13910.00,13930.00,5957443190,424805,172,D,13890.00,13990.00
Iran.China.Clay,20220620,14300.00,14320.00,13890.00,13890.00,10238879990,726786,268,D,13670.00,14180.00
Iran.China.Clay,20220619,14070.00,14070.00,13590.00,13670.00,6676573820,479814,197,D,13540.00,14020.00
Iran.China.Clay,20220618,14650.00,14650.00,13430.00,13540.00,20663444060,1525743,328,D,14130.00,13780.00
Iran.China.Clay,20220615,14140.00,14520.00,13800.00,14130.00,12322225170,881653,172,D,14380.00,13940.00
Iran.China.Clay,20220614,14610.00,14610.00,14170.00,14380.00,5948060700,414770,161,D,14400.00,14200.00
Iran.China.Clay,20220613,14700.00,14700.00,14250.00,14400.00,10002355040,693898,243,D,14380.00,14420.00
Iran.China.Clay,20220612,14120.00,14700.00,14110.00,14380.00,14758580430,1038370,276,D,14850.00,14490.00
Iran.China.Clay,20220611,14810.00,15090.00,14550.00,14850.00,12866870730,882826,224,D,15310.00,14550.00
Iran.China.Clay,20220608,15850.00,15850.00,14880.00,15310.00,4991603820,332053,183,D,15390.00,14930.00
Iran.China.Clay,20220607,14850.00,15620.00,14750.00,15390.00,13441297040,875300,263,D,15450.00,15390.00
Iran.China.Clay,20220606,15450.00,15680.00,15450.00,15450.00,73550350420,4760461,414,D,16260.00,15450.00
Iran.China.Clay,20220601,15750.00,15750.00,15750.00,16260.00,8280751500,525762,125,D,16570.00,15750.00
Iran.China.Clay,20220521,17200.00,18150.00,17200.00,17770.00,27904945190,1570075,485,D,17800.00,18110.00
Iran.China.Clay,20220518,17990.00,17990.00,17200.00,17800.00,7539436400,433550,283,D,17980.00,17590.00
Iran.China.Clay,20220517,18680.00,18680.00,17360.00,17980.00,14749999240,826169,372,D,18150.00,17660.00
Iran.China.Clay,20220516,18580.00,18740.00,17900.00,18150.00,17795195810,981300,498,D,18200.00,17950.00
Iran.China.Clay,20220515,17220.00,18770.00,17220.00,18200.00,19921535310,1092597,499,D,18070.00,18580.00
Iran.China.Clay,20220514,19020.00,19020.00,17700.00,18070.00,40871354070,2261451,931,D,18630.00,17800.00
Iran.China.Clay,20220511,17970.00,18720.00,17970.00,18630.00,57827530440,3104774,833,D,17830.00,18420.00
Iran.China.Clay,20220510,18090.00,18090.00,17140.00,17830.00,89839118640,5038890,1062,D,17300.00,17720.00
Iran.China.Clay,20220509,17300.00,17300.00,17300.00,17300.00,35964866200,2078894,104,D,16480.00,17300.00
Iran.China.Clay,20220508,16490.00,16490.00,16490.00,16480.00,22644150450,1373205,78,D,15710.00,16490.00
Iran.China.Clay,20220507,15440.00,16210.00,15120.00,15710.00,9521328340,592047,126,D,15440.00,16210.00
Iran.China.Clay,20220502,15550.00,15660.00,15020.00,15440.00,8823935200,576733,186,D,15530.00,15380.00
Iran.China.Clay,20220501,15730.00,15900.00,15200.00,15530.00,8919712190,579562,271,D,15630.00,15260.00
Iran.China.Clay,20220430,15610.00,16000.00,15410.00,15630.00,9155823660,584674,234,D,15610.00,15580.00
Iran.China.Clay,20220427,15650.00,15990.00,15400.00,15610.00,10467174090,666828,231,D,15540.00,15590.00
Iran.China.Clay,20220426,15450.00,15940.00,15290.00,15540.00,15730698580,1019554,425,D,15850.00,15500.00
Iran.China.Clay,20220425,16160.00,16160.00,15490.00,15850.00,13493846220,861877,374,D,16150.00,15600.00
