<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ToseAtlasMofid.ETF,20230130,298200.00,303998.00,294501.00,298771.00,185411002893,620579,1018,D,297877.00,303998.00
ToseAtlasMofid.ETF,20230129,307990.00,307990.00,293002.00,297877.00,314370975426,1055372,1078,D,307081.00,298102.00
ToseAtlasMofid.ETF,20230128,314950.00,314950.00,305002.00,307081.00,221471022111,721213,818,D,309176.00,307988.00
ToseAtlasMofid.ETF,20230125,317002.00,317002.00,302001.00,309176.00,204327777952,660879,1051,D,318263.00,308400.00
ToseAtlasMofid.ETF,20230124,322875.00,322875.00,317100.00,318263.00,49953888045,156958,573,D,322882.00,318495.00
ToseAtlasMofid.ETF,20230123,324800.00,325500.00,317005.00,322882.00,449248415016,1391372,994,D,319195.00,320755.00
ToseAtlasMofid.ETF,20230122,319888.00,322500.00,314001.00,319195.00,154277719699,483333,1062,D,317977.00,321830.00
ToseAtlasMofid.ETF,20230121,327499.00,327499.00,315000.00,317977.00,163516213340,514239,1009,D,322461.00,318191.00
ToseAtlasMofid.ETF,20230118,322900.00,325020.00,320001.00,322461.00,84465329012,261940,994,D,323286.00,323650.00
ToseAtlasMofid.ETF,20230117,327101.00,328000.00,320900.00,323286.00,172028985546,532126,1281,D,321935.00,321400.00
ToseAtlasMofid.ETF,20230116,318200.00,324501.00,318200.00,321935.00,125914988905,391119,1042,D,312484.00,324500.00
ToseAtlasMofid.ETF,20230114,311500.00,318399.00,306501.00,312484.00,122637084306,392459,845,D,313435.00,318398.00
ToseAtlasMofid.ETF,20230111,316502.00,319998.00,311010.00,313435.00,167726384775,535124,1105,D,321003.00,311073.00
ToseAtlasMofid.ETF,20230110,318999.00,325001.00,316500.00,321003.00,165864450599,516707,1210,D,316832.00,317830.00
ToseAtlasMofid.ETF,20230109,317000.00,320970.00,311250.00,316832.00,93222669175,294234,994,D,316660.00,317800.00
ToseAtlasMofid.ETF,20230108,313313.00,318499.00,313005.00,316660.00,202092439079,638201,1181,D,309266.00,318003.00
ToseAtlasMofid.ETF,20230107,303111.00,311898.00,303111.00,309266.00,133182061787,430639,904,D,303133.00,311890.00
ToseAtlasMofid.ETF,20230104,305000.00,306500.00,301501.00,303133.00,44576382430,147052,591,D,306968.00,303022.00
ToseAtlasMofid.ETF,20230103,310996.00,312900.00,303002.00,306968.00,128166561645,417524,1227,D,309108.00,305000.00
ToseAtlasMofid.ETF,20230102,306266.00,311210.00,304001.00,309108.00,165857619375,536568,1318,D,300261.00,309500.00
ToseAtlasMofid.ETF,20230101,300510.00,311001.00,294001.00,300261.00,262291620073,873546,1531,D,307097.00,305995.00
ToseAtlasMofid.ETF,20221231,317001.00,317001.00,300002.00,307097.00,484281433358,1576967,2268,D,326194.00,303400.00
ToseAtlasMofid.ETF,20221228,311010.00,340452.00,310005.00,326194.00,598795040036,1835702,2326,D,309502.00,328011.00
ToseAtlasMofid.ETF,20221226,305100.00,313993.00,303000.00,309502.00,243277589501,786030,1214,D,306832.00,310101.00
ToseAtlasMofid.ETF,20221225,305001.00,310001.00,300010.00,306832.00,164293171128,535450,1140,D,301381.00,308020.00
ToseAtlasMofid.ETF,20221224,292995.00,304985.00,292900.00,301381.00,200054004059,663790,1047,D,288344.00,304675.00
ToseAtlasMofid.ETF,20221221,286514.00,290000.00,286514.00,288344.00,58642929251,203378,447,D,287756.00,288968.00
ToseAtlasMofid.ETF,20221220,293001.00,293001.00,285110.00,287756.00,71589610757,248786,671,D,292404.00,286600.00
ToseAtlasMofid.ETF,20221219,294001.00,294500.00,289002.00,292404.00,101529561209,347224,628,D,292963.00,292006.00
ToseAtlasMofid.ETF,20221218,288001.00,294499.00,288001.00,292963.00,116994649641,399349,859,D,285816.00,294499.00
ToseAtlasMofid.ETF,20221217,287001.00,287722.00,282119.00,285816.00,67234259994,235236,527,D,287644.00,287722.00
ToseAtlasMofid.ETF,20221214,287230.00,291001.00,285013.00,287644.00,208080947708,723398,718,D,282715.00,286901.00
ToseAtlasMofid.ETF,20221213,274980.00,286101.00,274980.00,282715.00,250157492576,884840,1004,D,272615.00,286101.00
ToseAtlasMofid.ETF,20221212,267001.00,274750.00,267001.00,272615.00,49685772248,182256,530,D,265998.00,274750.00
ToseAtlasMofid.ETF,20221211,263505.00,267000.00,263502.00,265998.00,34998431782,131574,311,D,264106.00,266801.00
ToseAtlasMofid.ETF,20221210,266001.00,266003.00,263001.00,264106.00,276873820367,1048342,367,D,267390.00,263601.00
ToseAtlasMofid.ETF,20221207,269000.00,269000.00,266101.00,267390.00,165552284445,619142,262,D,269078.00,266102.00
ToseAtlasMofid.ETF,20221206,269001.00,269864.00,268601.00,269078.00,11965371994,44468,162,D,269778.00,269864.00
ToseAtlasMofid.ETF,20221205,270001.00,270460.00,268002.00,269778.00,67425310275,249929,243,D,269206.00,269200.00
ToseAtlasMofid.ETF,20221204,269001.00,270200.00,268255.00,269206.00,34666489865,128773,275,D,269937.00,269070.00
ToseAtlasMofid.ETF,20221203,270497.00,270890.00,269302.00,269937.00,27142211296,100550,310,D,269900.00,269500.00
ToseAtlasMofid.ETF,20221130,270000.00,270797.00,269002.00,269900.00,22893761322,84823,267,D,268838.00,269988.00
ToseAtlasMofid.ETF,20221129,267001.00,270000.00,267001.00,268838.00,41816943351,155547,399,D,266964.00,269621.00
ToseAtlasMofid.ETF,20221128,267690.00,268443.00,266104.00,266964.00,18353531196,68749,292,D,265755.00,267687.00
ToseAtlasMofid.ETF,20221127,265989.00,267599.00,264800.00,265755.00,53414297490,200991,254,D,266415.00,267000.00
ToseAtlasMofid.ETF,20221126,265500.00,269990.00,265001.00,266415.00,143085472563,537077,265,D,267707.00,265999.00
ToseAtlasMofid.ETF,20221123,267030.00,269960.00,267030.00,267707.00,11472033372,42853,233,D,267311.00,267033.00
ToseAtlasMofid.ETF,20221122,267250.00,269995.00,265526.00,267311.00,33410110704,124986,266,D,266690.00,267361.00
ToseAtlasMofid.ETF,20221121,267000.00,268328.00,265801.00,266690.00,40413697326,151538,382,D,266426.00,266370.00
ToseAtlasMofid.ETF,20221120,263716.00,268250.00,263716.00,266426.00,64716032986,242904,436,D,263730.00,267000.00
ToseAtlasMofid.ETF,20221119,269500.00,269500.00,262002.00,263730.00,115925719747,439562,538,D,268373.00,263550.00
ToseAtlasMofid.ETF,20221116,269900.00,269900.00,266701.00,268373.00,61886475294,230599,349,D,267625.00,269101.00
