<DTYYYYMMDD>,<VALUE>
1401/11/12,1557244
1401/11/11,1556551.9
1401/11/10,1539679.61
1401/11/9,1542190.69
1401/11/8,1600083.66
1401/11/5,1611955.89
1401/11/4,1646053.52
1401/11/3,1653948.58
1401/11/2,1652924.49
1401/11/1,1657576.67
1401/10/28,1689144.1
1401/10/27,1687047.68
1401/10/26,1680675.17
1401/10/24,1643714.01
1401/10/21,1652087.01
1401/10/20,1668186.93
1401/10/19,1646905.82
1401/10/18,1635229.22
1401/10/17,1598061.37
1401/10/14,1579119.33
1401/10/13,1591353.87
1401/10/12,1593284.96
1401/10/11,1564365.67
1401/10/10,1590495.45
1401/10/7,1647314.51
1401/10/5,1576396.75
1401/10/4,1563567.43
1401/10/3,1538003.22
1401/9/30,1496200.75
1401/9/29,1492095.08
1401/9/28,1500908.6
1401/9/27,1500241.84
1401/9/26,1469933.21
1401/9/23,1472760.53
1401/9/22,1454468.23
1401/9/21,1409355.07
1401/9/20,1389362.23
1401/9/19,1383737.53
1401/9/16,1402830.41
1401/9/15,1409404.41
1401/9/14,1413604.71
1401/9/13,1417839.38
1401/9/12,1417719.8
1401/9/9,1417371.78
1401/9/8,1414204.59
1401/9/7,1408348.52
1401/9/6,1406202.03
1401/9/5,1408210.87
1401/9/2,1410188.21
1401/9/1,1407654.14
1401/8/30,1408597.92
1401/8/29,1404627.24
1401/8/28,1393086.17
1401/8/25,1413573.66
1401/8/24,1410423.91
1401/8/23,1408174.25
1401/8/22,1419140.15
1401/8/21,1426095.96
1401/8/18,1414356.21
1401/8/17,1407734.06
1401/8/16,1389752.61
1401/8/15,1344675.86
1401/8/14,1328324.05
1401/8/11,1283540.76
1401/8/10,1280456.23
1401/8/9,1269833.38
1401/8/8,1254464.84
1401/8/7,1244627.3
1401/8/4,1241067.09
1401/8/3,1267060.73
1401/8/2,1277736.85
1401/8/1,1296797.77
1401/7/30,1308959.98
1401/7/27,1310165.88
1401/7/26,1312563.15
1401/7/25,1311109.9
1401/7/24,1311288.58
1401/7/23,1317894.2
1401/7/20,1319789.73
1401/7/19,1313583.91
1401/7/18,1303920.39
1401/7/17,1305083.01
1401/7/16,1316721.11
1401/7/12,1313853.11
1401/7/11,1318714.22
1401/7/10,1322025.84
1401/7/9,1330879.14
1401/7/6,1346563.48
1401/7/4,1334448.05
1401/7/2,1328185.89
1401/6/30,1355240.93
1401/6/29,1367060.37
1401/6/28,1373821.43
1401/6/27,1377917.45
1401/6/23,1389099
1401/6/22,1393126.72
1401/6/21,1388970.38
1401/6/20,1390732.44
1401/6/19,1397434.49
1401/6/16,1412856.54
1401/6/15,1420834.1
1401/6/14,1426779.63
1401/6/13,1426908.19
1401/6/12,1426941.24
1401/6/9,1439396.42
1401/6/8,1441217.1
1401/6/7,1445139.02
1401/6/6,1444086.84
1401/6/5,1450045.24
1401/6/2,1442372.9
1401/6/1,1431477.2
1401/5/31,1424490.85
1401/5/30,1429906.78
1401/5/29,1438819.24
1401/5/26,1451404.12
1401/5/25,1459500.55
1401/5/24,1463697.62
1401/5/23,1463653.52
1401/5/22,1467100.56
1401/5/19,1448464.5
1401/5/18,1451941.94
1401/5/15,1448922.64
1401/5/12,1437360.78
1401/5/11,1430020.99
1401/5/10,1427605.63
1401/5/9,1423496.73
1401/5/8,1440855.3
1401/5/5,1443712.6
1401/5/4,1438448.38
1401/5/3,1439416.81
1401/5/2,1463758.44
1401/5/1,1473499.1
1401/4/29,1471898.15
1401/4/28,1468893.05
1401/4/26,1469832.45
1401/4/25,1480051.23
1401/4/22,1490051.84
1401/4/21,1483534.68
1401/4/20,1487597.8
1401/4/18,1498512.73
1401/4/15,1502603.8
1401/4/14,1511075.5
1401/4/13,1507156.83
1401/4/12,1502986.15
1401/4/11,1501631.9
1401/4/8,1513715.5
1401/4/7,1514434.46
1401/4/6,1504065.37
1401/4/5,1501340
1401/4/4,1520334.93
1401/4/1,1533393.87
1401/3/31,1539632.2
1401/3/30,1547247.23
1401/3/29,1545962.92
1401/3/28,1547738.5
1401/3/25,1564333.96
1401/3/24,1574065.29
1401/3/23,1571445.21
1401/3/22,1532387.2
1401/3/21,1518289.75
1401/3/18,1520298.66
1401/3/17,1515387.68
1401/3/16,1514309.95
1401/3/11,1541979.95
1401/3/10,1542711.13
1401/3/9,1537380.3
1401/3/8,1534057.05
1401/3/7,1553401.9
1401/3/4,1564487.51
1401/3/3,1555689
1401/3/2,1557210.57
1401/3/1,1582222.69
1401/2/31,1579686.69
1401/2/28,1594977.65
1401/2/27,1606024.27
1401/2/26,1583800.5
1401/2/25,1572979.78
1401/2/24,1578410.89
1401/2/21,1564449.12
1401/2/20,1539530.7
1401/2/19,1540099.24
1401/2/18,1553041.84
1401/2/17,1543847.49
1401/2/12,1529717.47
1401/2/11,1523471.17
1401/2/10,1522439.38
1401/2/7,1521423.25
1401/2/6,1522868.18
1401/2/5,1507249.33
1401/2/4,1504715.64
1401/1/31,1512219.11
1401/1/31,1512219.11
1401/1/30,1513105.74
1401/1/29,1501842.63
1401/1/28,1475058.55
1401/1/27,1467644.84
1401/1/24,1454129.33
1401/1/23,1446026.89
1401/1/22,1479492.96
1401/1/21,1474112.99
1401/1/20,1458772.68
1401/1/17,1463779.74
1401/1/16,1471438.4
1401/1/15,1468820.11
1401/1/14,1462002.95
1401/1/10,1432106.45
1401/1/9,1414249.5
1401/1/8,1418651.9
1401/1/7,1403617.94
1401/1/6,1390859.71
1400/12/28,1367250.3
1400/12/25,1345018.19
1400/12/24,1337223.23
1400/12/23,1334776.86
1400/12/22,1335376.42
1400/12/21,1332933.25
1400/12/18,1348303.31
1400/12/17,1336569.19
1400/12/16,1342906.67
1400/12/15,1322598.52
1400/12/14,1298782.72
1400/12/11,1281190.77
1400/12/9,1281934.22
1400/12/8,1279292.68
1400/12/7,1282870.84
1400/12/4,1288310.34
1400/12/3,1284876.11
1400/12/2,1281589.37
1400/12/1,1274304.74
1400/11/30,1282190.78
1400/11/27,1282411.42
1400/11/25,1283324.21
1400/11/24,1275996.17
1400/11/23,1284061.71
1400/11/20,1284160.06
1400/11/19,1281075.43
1400/11/18,1274467.48
1400/11/17,1282049.95
1400/11/16,1304411.12
1400/11/13,1301161.48
1400/11/12,1301234.01
1400/11/11,1294619.06
1400/11/10,1284647.38
1400/11/9,1258995.09
1400/11/6,1229368.42
1400/11/5,1207926.66
1400/11/4,1234707.73
1400/11/3,1256512.82
1400/11/2,1281801.02
1400/10/29,1279393.9
1400/10/28,1275966.43
1400/10/27,1306472.13
1400/10/26,1310804.45
1400/10/25,1322569.8
1400/10/22,1334265
1400/10/21,1334703.54
1400/10/20,1332755.64
1400/10/19,1336820.72
1400/10/18,1362458.01
1400/10/15,1363095.81
1400/10/14,1362828.62
1400/10/13,1376049.34
1400/10/12,1379041.05
1400/10/11,1378777.36
1400/10/8,1397311.44
1400/10/7,1399910.85
1400/10/6,1400314.63
1400/10/5,1383987.9
1400/10/4,1385504.62
1400/10/1,1359024.49
1400/9/30,1318359.67
1400/9/29,1301542.25
1400/9/28,1291675.77
1400/9/27,1305535.47
1400/9/24,1293237.91
1400/9/23,1291839.41
1400/9/22,1295550.11
1400/9/21,1320776.73
1400/9/20,1344441.58
1400/9/17,1349389.26
1400/9/16,1338016.01
1400/9/15,1342353.56
1400/9/14,1343202.66
1400/9/13,1334765.92
1400/9/10,1340071.91
1400/9/9,1357128.91
1400/9/8,1363939.01
1400/9/7,1368005.19
1400/9/6,1366713.91
1400/9/3,1394105.72
1400/9/2,1404551.66
1400/9/1,1407132.92
1400/8/30,1386935.29
1400/8/29,1383491.85
1400/8/26,1410778.55
1400/8/25,1408595.65
1400/8/24,1416298.72
1400/8/23,1442515.73
1400/8/22,1439244.35
1400/8/19,1456479.93
1400/8/18,1447674.77
1400/8/17,1434378.87
1400/8/16,1430892.18
1400/8/15,1440651.49
1400/8/12,1398416.46
1400/8/11,1376091.88
1400/8/10,1361414.79
1400/8/9,1340290.83
